TimeStamp,Confidence,NOSE_X,NOSE_Y,LEFT_EYE_X,LEFT_EYE_Y,RIGHT_EYE_X,RIGHT_EYE_Y,LEFT_EAR_X,LEFT_EAR_Y,RIGHT_EAR_X,RIGHT_EAR_Y,LEFT_SHOULDER_X,LEFT_SHOULDER_Y,RIGHT_SHOULDER_X,RIGHT_SHOULDER_Y,LEFT_ELBOW_X,LEFT_ELBOW_Y,RIGHT_ELBOW_X,RIGHT_ELBOW_Y,LEFT_WRIST_X,LEFT_WRIST_Y,RIGHT_WRIST_X,RIGHT_WRIST_Y,LEFT_HIP_X,LEFT_HIP_Y,RIGHT_HIP_X,RIGHT_HIP_Y,LEFT_KNEE_X,LEFT_KNEE_Y,RIGHT_KNEE_X,RIGHT_KNEE_Y,LEFT_ANKLE_X,LEFT_ANKLE_Y,RIGHT_ANKLE_X,RIGHT_ANKLE_Y
1652878185892,0.7617452,0.36848265,0.22575212,0.3717906,0.20707999,0.36848265,0.210192,0.40487024,0.18218383,0.39494637,0.18840785,0.45779765,0.210192,0.3982543,0.2599843,0.44456577,0.3160007,0.33209506,0.33467284,0.38833043,0.37201706,0.3023234,0.35334495,0.5735763,0.39691323,0.514033,0.4186974,0.5934241,0.55873835,0.5404967,0.55562633,0.6430436,0.72367543,0.5603445,0.68321913
1652878186015,0.7881914,0.36724856,0.22041267,0.3704822,0.20520224,0.3704822,0.20520224,0.4060521,0.1899918,0.39958486,0.1899918,0.46102375,0.21128643,0.4060521,0.25691774,0.43515474,0.32384366,0.39311758,0.3116753,0.3834167,0.38164333,0.32521144,0.37251705,0.570967,0.39685374,0.5127618,0.4151063,0.5968361,0.5672106,0.5353972,0.5641686,0.63563955,0.72844124,0.5612662,0.7010625
1652878186124,0.77142644,0.36818528,0.22395836,0.36818528,0.20532817,0.36818528,0.20532817,0.4077916,0.18359299,0.39789006,0.18980303,0.46390063,0.21464324,0.4077916,0.2550086,0.43089533,0.32642424,0.3945895,0.32021418,0.37808686,0.37610465,0.33187947,0.3698946,0.56621706,0.4040499,0.51340854,0.41025996,0.5893207,0.56861633,0.5398128,0.55930126,0.63882864,0.73007774,0.55301493,0.70213246
1652878186245,0.7116864,0.3625082,0.22481014,0.3625082,0.20615898,0.35920396,0.20615898,0.40215915,0.19061635,0.39224643,0.19061635,0.4616356,0.21548456,0.4054634,0.25589538,0.43520164,0.3398255,0.39224643,0.32428288,0.35920396,0.38645333,0.33607426,0.37091076,0.56406724,0.4051045,0.5111993,0.42686418,0.5905011,0.5729648,0.53763324,0.5698562,0.63015217,0.7377166,0.54754597,0.7066313
1652878186369,0.78323287,0.36434868,0.22817975,0.36434868,0.20959154,0.36764178,0.21268958,0.40057275,0.19100334,0.39069346,0.19100334,0.46314156,0.21578762,0.39727968,0.2715522,0.4302106,0.3304149,0.38410726,0.34590504,0.34788322,0.38308144,0.3017799,0.37688535,0.56852055,0.39547357,0.5026587,0.43265,0.5849861,0.57206154,0.53229654,0.57825756,0.6310894,0.73315924,0.5454689,0.708375
1652878186496,0.7919695,0.3703268,0.2339996,0.36379266,0.21555826,0.3670597,0.2186318,0.39973047,0.19404335,0.38992926,0.20019045,0.46180493,0.21555826,0.39973047,0.26780874,0.43566832,0.33850056,0.38339508,0.32927987,0.36379266,0.37538323,0.3213206,0.3692361,0.55981725,0.40919235,0.51081115,0.42763367,0.5761527,0.5751645,0.53041357,0.5813116,0.62515885,0.7411366,0.5434819,0.7134745
1652878186613,0.75655043,0.36487225,0.23630726,0.35826376,0.2176561,0.35826376,0.2176561,0.3946105,0.19589645,0.39130622,0.19900496,0.46069536,0.2176561,0.40121895,0.27360952,0.4408699,0.3326715,0.38469774,0.3326715,0.3681765,0.36686525,0.3252213,0.37929934,0.55982274,0.4103846,0.5036506,0.43214425,0.56973547,0.5720278,0.5168675,0.5689193,0.62590766,0.74610513,0.53669304,0.71812844
1652878186732,0.7178257,0.3635488,0.23487332,0.36022225,0.21922581,0.36022225,0.21922581,0.39016116,0.1973193,0.3868346,0.2004488,0.450039,0.22235532,0.40346733,0.27242738,0.4300797,0.33501744,0.4267532,0.34127647,0.35356915,0.375701,0.38018152,0.369442,0.5465088,0.40386656,0.49993715,0.4382911,0.56979465,0.58537775,0.5132434,0.5822483,0.61969286,0.7449825,0.5398557,0.7136874
1652878186850,0.7369519,0.3554052,0.23513037,0.3554052,0.21953529,0.3554052,0.21953529,0.38855916,0.1977022,0.38192835,0.2008212,0.44160548,0.21641627,0.41839772,0.26008248,0.4250285,0.32558176,0.4316593,0.34741488,0.362036,0.36924794,0.3719822,0.372367,0.54438275,0.41915217,0.5079134,0.43474722,0.5742214,0.57822186,0.5278058,0.5813409,0.6206369,0.74041057,0.5377519,0.7123395
1652878186985,0.6989355,0.36026308,0.23558146,0.35685104,0.21632187,0.35685104,0.2195318,0.38755935,0.1938524,0.38414732,0.19064246,0.4421519,0.21632187,0.4319158,0.23879138,0.42167965,0.33508918,0.4250917,0.35113883,0.36026308,0.36397853,0.4558,0.41854727,0.561573,0.4121274,0.5035685,0.41854727,0.5752212,0.5758336,0.5240407,0.5790436,0.62298965,0.7395399,0.54110086,0.71707046
